earthquake_time,earthquake_latitude,earthquake_longitude,earthquake_depth,earthquake_magnitude,nearest_city_latitude,nearest_city_longitude,nearest_city_distance,historical_temp_available
2013-02-06T01:23:19.760Z,-11.183,164.882,10.0,7.1,-10.738,165.8567,117.0,no
2013-02-06T01:54:14.610Z,-10.499,165.588,8.8,7.0,-10.738,165.8567,40.0,no
2013-02-08T15:26:38.470Z,-10.927999999999999,166.018,21.0,7.1,-10.738,165.8567,27.0,no
2013-04-06T04:42:35.860Z,-3.517,138.476,66.0,7.0,-4.5496,136.89,210.0,no
2013-04-16T10:44:20.180Z,28.033,61.996,80.0,7.7,29.5,60.83,198.0,yes
2013-04-19T03:05:52.650Z,46.221000000000004,150.78799999999998,110.0,7.2,43.8504,143.9,603.0,yes
2013-05-23T17:19:04.750Z,-23.009,-177.232,173.7,7.4,-21.1385,-175.2206,293.0,yes
2013-05-24T05:44:48.980Z,54.891999999999996,153.221,598.1,8.3,52.6636,156.2387,318.0,yes
2013-07-07T18:35:30.740Z,-3.917,153.92700000000002,385.5,7.3,-5.4297,154.6711,187.0,no
2013-07-15T14:03:39.880Z,-60.857,-25.07,11.0,7.3,-54.2806,-36.508,999.0,yes
2013-08-30T16:25:02.300Z,51.537,-175.2297,29.0,7.0,63.0655,179.3067,1322.0,no
2013-09-24T11:29:47.970Z,26.951,65.5009,15.0,7.7,25.9918,63.0718,264.0,no
2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40.0,7.1,-15.0196,-73.79,119.0,no
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,10.3103,123.9494,51.0,yes
2013-10-25T17:10:19.710Z,37.1557,144.6611,35.0,7.1,37.0553,140.89,335.0,yes
2013-11-17T09:04:55.530Z,-60.2738,-46.4011,10.0,7.7,-54.2806,-36.508,893.0,no
2013-11-25T06:27:33.300Z,-53.9451,-55.0033,11.78,7.0,-51.7,-57.85,315.0,yes
2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25.0,8.2,-19.1167,-70.1333,86.0,no
2014-04-03T02:43:13.110Z,-20.5709,-70.4931,22.4,7.7,-20.25,-70.13,52.0,yes
2014-04-11T07:07:23.130Z,-6.5858,155.0485,60.53,7.1,-6.228,155.566,70.0,no
2014-04-12T20:14:39.300Z,-11.2701,162.1481,22.56,7.6,-10.4544,161.9205,94.0,no
