city_name,country_name,latitude,longitude
Paranagua,Brazil,-25.5279,-48.5345
Foz do Iguacu,Brazil,-25.5235,-54.53
Ciudad del Este,Paraguay,-25.5167,-54.6161
Ita,Paraguay,-25.5096,-57.36
Nelspruit,South Africa,-25.4745,30.9703
Irati,Brazil,-25.47,-50.66
Coronel Oviedo,Paraguay,-25.45,-56.44
Windorah,Australia,-25.4332,142.6502
Curitiba,Brazil,-25.42,-49.32
Ypacarai,Paraguay,-25.41,-57.28
Komatipoort,South Africa,-25.4096,31.94
Taltal,Chile,-25.4,-70.47
Caacupe,Paraguay,-25.387,-57.14
Guarapuava,Brazil,-25.38,-51.48
Eidsvold,Australia,-25.3662,151.1333
San Lorenzo,Paraguay,-25.34,-57.52
Comandante Fontana,Argentina,-25.3333,-59.6833
Aregua,Paraguay,-25.3125,-57.3847
Asuncion,Paraguay,-25.2964,-57.6415
Hervey Bay,Australia,-25.2887,152.8409
Yulara,Australia,-25.2405,130.9889
Lobatse,Botswana,-25.2196,25.68
Villa Hayes,Paraguay,-25.09,-57.53
Ponta Grossa,Brazil,-25.09,-50.16
Joaquin V. Gonzalez,Argentina,-25.0833,-64.1834
Adamstown,Pitcairn Islands,-25.0667,-130.0833
Arroyos y Esteros,Paraguay,-25.05,-57.09
Xai-Xai,Mozambique,-25.04,33.64
